,oldAIC,AIC,cost,country,time,a,r,beta_I,beta_A,mu_I,mu_A,nu,I0,alpha,t_lock,beta_lock
72,-919.5743799487582,-1751.7279090275792,0.01592747544272333,Spain,lock,1.0,0.0,1.2601111135361875,0.5383518591138065,9.121195029830806,0.3273063239767475,0.02385234462612289,1.3011898624948426e-08,,48.09532620657773,0.2930455773356189
73,-440.3947804289693,-1744.5276145555242,0.017931564356854463,Spain,exp,0.0,0.0,0.05540248513801349,1.9645753950347693,0.014639192430792468,0.003996077153746132,0.3121478167179398,2.714982940526118e-16,0.061772885765121015,,
74,-994.7968633816424,-1739.081854681325,0.011519627776351434,Spain,exp,1.0,0.0,0.2313540999992728,2.059370189398419,0.01624615877366715,0.4340612877766032,1.9067536165694663,1.5118400441640134e-16,0.06025088711706296,,
75,-959.3579921164059,-1732.5622035213892,0.013475342158316722,Spain,rational,1.0,0.0,0.04915008196461197,1.5313340904202597,0.11081021148700823,0.13089205935384035,1.2609946904296965,1.1192244504267194e-15,0.05705600150000225,,
76,-326.3644072979328,-1608.5306975898914,0.05226557720242602,Italy,lock,0.0,1.0,0.5005024693603821,0.5053599955660709,0.5372918068908861,0.4374938407240849,0.15382451014610554,1.1477474007861286e-08,,20.000105878258488,0.242239406175444
77,-805.9798820478818,-1576.271051204704,0.0289259335097775,Italy,lock,1.0,1.0,0.539553183569842,0.4935850848695591,0.4562821913422144,0.45306439174986,0.22658297277806405,1.1611930245646433e-08,,18.000274596352373,0.2222340847959645
78,-296.47381476092454,-1546.2382529020254,0.05391664555647361,Belgium,lock,0.0,0.0,0.7302170554408983,0.22105709911165808,0.6281892488783555,0.34540338078218835,0.6363901620474142,1.2549284456832145e-09,,33.00001107243132,0.2698243815420241
79,-286.98377150370504,-1542.022982597034,0.06524645739433256,Germany,lock,0.0,1.0,0.5612313967585458,1.28382193084626,2.4076611975050684,0.6654342454660764,0.024927963526386047,6.663330725421032e-11,,18.000100799618085,0.5195048246741018
80,-720.261057433237,-1536.7758639945255,0.03627990581854599,Germany,lock,1.0,1.0,0.6301316095678742,0.6028635503601399,0.8954852436216986,0.5666509305483428,0.021600259493829484,1.3055801746205028e-08,,19.000018979038888,0.33992874311785914
81,-776.1753241213409,-1485.9672768089506,0.023833191782204232,Portugal,lock,1.0,1.0,1.219870774162473,0.030399208682277086,0.6723571299181813,1.5930635309262382,0.00030016579482715334,8.17584339580875e-09,,17.99999992711181,0.4674771427151378
